task,tic,period_days,radius_rearth,b,cost_full,cost_full_wall,cost_full_cpu_spread,cost_detector,cost_period,cost_tls,cost_comb,fast_path_eligible,routed_in_retime,confirmed_cheap,n_repeats
119,268534632,0.5,1,0.6,21.745648999999993,22.94456450000871,0.1020636756880747,8.29242699999999,0.0,21.745648999999993,30.038075999999982,True,True,False,5
377,146711335,0.5,1,0.6,23.112839000000008,23.927532791974954,0.07619466277791348,7.6178220000000465,0.0,23.112839000000008,30.730661000000055,True,True,False,5
78,142105308,0.5,1,0.0,99.94421499999999,104.64426529104821,0.541038406755957,16.939040000000006,0.0,99.94421499999999,116.88325499999999,True,True,False,5
398,142105308,0.5,1,0.6,98.80864500000001,103.26672075001989,0.6286936198761767,16.89631799999995,0.0,98.80864500000001,115.70496299999996,True,True,False,5
272,231280161,0.5,1,0.6,150.17718399999998,155.71543445903808,1.2759017796437622,22.408012999999983,0.0,150.17718399999998,172.58519699999997,True,True,False,5
487,28077586,0.5,1,0.3,27.74232900000004,27.925528625026345,0.042039969075126186,7.6266729999999825,0.0,27.74232900000004,35.36900200000002,True,True,False,5
503,111244232,0.5,2,0.0,26.90236700000014,27.026344541925937,0.04258653980114374,8.401839999999993,0.0,26.90236700000014,35.30420700000013,True,True,False,5
587,146711335,0.5,2,0.0,25.542012999999997,25.6619825840462,0.026643997375780517,0.007432999999991807,0.0,25.542012999999997,25.54944599999999,True,True,False,5
609,268534632,0.5,2,0.3,24.510672999999997,24.639575041946955,0.011385993142384842,7.650225000000091,0.0,24.510672999999997,32.16089800000009,True,True,False,5
629,267063469,0.5,2,0.0,54.52065300000004,54.76357750000898,0.07788766329375389,13.443686999999954,0.0,54.52065300000004,67.96433999999999,True,True,False,5
645,260852493,0.5,2,0.3,60.687996999999996,61.03633545804769,0.07228243157393142,13.493528999999853,0.0,60.687996999999996,74.18152599999985,True,True,False,5
16,349273478,0.5,1,0.3,326.17745000000014,327.96302424999885,3.2911363516201364,33.4368300000001,0.0,326.17745000000014,359.61428000000024,True,True,False,5
11,141809729,0.5,1,0.6,343.22561300000007,345.1072770829778,3.33503603431287,29.710645999999997,0.0,343.22561300000007,372.93625900000006,True,True,False,5
692,234280067,0.5,2,0.0,56.14556300000004,56.42012808297295,0.1062120780299757,13.382428999999775,0.0,56.14556300000004,69.52799199999981,True,True,False,5
914,412051524,0.5,2,0.0,56.61548900000025,56.90627074998338,0.0670295016528846,12.951728999999887,0.0,56.61548900000025,69.56721800000014,True,True,False,5
949,267063469,0.5,2,0.6,50.784673999999995,51.030191665980965,0.16295767725693305,11.855706999999711,0.0,50.784673999999995,62.64038099999971,True,True,False,5
622,31654804,0.5,2,0.6,248.636665,249.85771300003398,4.632596758629075,25.261857999999847,0.0,248.636665,273.89852299999984,True,True,False,5
989,267063469,0.5,2,0.0,35.98391100000026,36.01581858401187,10.575953945759247,8.001113999999689,0.0,35.98391100000026,43.98502499999995,True,True,False,5
1006,206683782,0.5,4,0.0,46.84024099999988,46.92068174993619,6.768019987581878,10.07786299999998,0.0,0.00786500000003798,10.085728000000017,True,True,True,5
357,167551097,0.5,1,0.0,480.29218000000003,482.8469974590698,65.94428824175046,31.317244999999957,0.0,480.29218000000003,511.609425,True,True,False,5
437,167551097,0.5,1,0.6,471.9838809999999,474.429594624904,49.569921785656014,31.10894200000007,0.0,471.9838809999999,503.09282299999995,True,True,False,5
1100,231005223,0.5,4,0.3,30.798131000000012,31.191126333083957,5.372607788235139,8.667539000000033,0.0,30.798131000000012,39.465670000000046,True,True,False,5
1084,412051524,0.5,4,0.0,55.36656700000003,56.221439542016014,12.669191308839366,15.078737999999703,0.0,0.012116999999761902,15.090854999999465,True,True,True,5
1014,260657210,0.5,4,0.6,245.7041360000003,271.89596329198685,38.293183456196914,26.768195000000105,0.0,0.020837000000028638,26.789032000000134,True,True,True,5
1056,260300455,0.5,4,0.6,266.23142499999994,269.0727647920139,40.57700984388883,30.41204400000015,0.0,0.015715999999883934,30.427760000000035,True,True,True,5
1146,55296811,0.5,4,0.6,195.68370699999969,207.37312266696244,26.556101336796267,21.394695999999385,0.0,0.014933999999811931,21.409629999999197,True,True,True,5
1632,234280067,0.5,8,0.0,68.58703299999996,69.79812224999841,0.5227328192836665,15.159942000000001,0.0,0.010696999999993295,15.170638999999994,True,True,True,5
1719,178171862,0.5,8,0.0,29.93055300000003,30.117061624998314,0.21129368184625866,9.525732000000062,0.0,0.007425000000012005,9.533157000000074,True,True,True,5
1768,340707249,0.5,8,0.3,30.885042999999996,30.98978216699834,0.18451418950272433,9.66438800000003,0.0,0.007344999999986612,9.671733000000017,True,True,True,5
1615,262924431,0.5,8,0.3,226.8905269999999,227.60867958400195,1.823094069448855,23.601134000000002,0.0,0.016359999999849606,23.61749399999985,True,True,True,5
1112,31654804,0.5,4,0.3,329.872387,332.0175798749988,2.023384572641112,29.61576500000001,0.0,0.021533999999974185,29.637298999999985,True,True,True,5
1851,11646650,0.5,8,0.0,27.928863000000092,28.025389542002813,0.04270512565222798,8.98759999999993,0.0,27.928863000000092,36.91646300000002,True,True,False,5
1824,260657210,0.5,8,0.0,334.30822999999987,335.389987999999,0.4995308485426945,30.62643700000035,0.0,0.020586000000093918,30.647023000000445,True,True,True,5
1898,370328324,0.5,8,0.6,66.68357500000002,67.00927758300531,0.13108449275846737,12.772102999999788,0.0,66.68357500000002,79.4556779999998,True,True,False,5
1957,28077586,0.5,8,0.3,29.2261239999998,29.299323082996125,0.023426108315348918,7.7674669999996695,0.0,29.2261239999998,36.99359099999947,True,True,False,5
1952,234280067,0.5,8,0.6,67.20202800000015,67.35375870900316,0.060335982791532926,15.047797000000173,0.0,0.010654000000158703,15.058451000000332,True,True,True,5
